uid,day,start_time,end_time,location
j001,1,1:00am,7:00am,irf
j001,1,9:25am,10:15am,dbt
j001,1,2:00pm,2:50pm,hhh
j001,1,3:30pm,6:15pm,str
j001,1,7:00pm,8:30pm,dbt
j001,2,11:00am,12:15pm,dbt
j001,2,12:30pm,1:45pm,dbt
j001,3,9:25am,10:15am,dbt
j001,3,10:30am,11:00am,ftz
j001,3,2:00pm,2:50pm,hhh
j001,4,11:00am,12:15pm,dbt
j001,4,12:30pm,1:45pm,dbt
j001,4,3:00pm,4:30pm,dnc
j001,5,9:25am,10:15am,dbt
j001,5,2:00pm,2:50pm,hhh
a001,1,9:25am,10:15am,dbt
a001,1,12:30pm,1:30pm,ftz
a001,1,2:00pm,2:50pm,dbt
a001,2,12:30pm,1:45pm,dbt
a001,3,9:25am,10:15am,dbt
a001,3,12:30pm,1:30pm,ftz
a001,3,2:00pm,4:45pm,dbt
a001,4,8:30am,9:15am,ftz
a001,4,12:30pm,1:45pm,dbt
a001,5,12:30pm,1:30pm,ftz
a001,5,2:00pm,4:45pm,dbt
e001,1,9:25am,10:15am,dbt
e001,1,10:30am,11:00am,ftz
e001,1,11:15am,12:15pm,sdh
e001,1,12:30pm,1:45pm,dbt
e001,1,2:30pm,3:00pm,ftz
e001,2,9:30am,12:15pm,dbt
e001,2,12:30pm,1:30pm,sdh
e001,2,2:20pm,4:20pm,ftz
e001,3,9:25am,10:15am,dbt
e001,3,11:00am,12:15pm,sdh
e001,3,12:30pm,1:45pm,dbt
e001,3,3:30pm,4:45pm,dbt
e001,4,9:30am,12:15pm,dbt
e001,4,12:30pm,1:30pm,sdh
e001,5,9:25am,10:15am,dbt
e001,5,11:00am,12:15pm,sdh
e001,5,3:30pm,4:45pm,dbt
e002,1,10:30am,11:00am,ftz
e002,1,11:30am,12:20pm,dbt
e002,1,5:00pm,7:00pm,jyc
e002,2,11:00am,3:15pm,dbt
e002,2,5:00pm,7:00pm,jyc
e002,3,11:30am,12:20pm,dbt
e002,3,5:00pm,7:00pm,jyc
e002,4,11:00am,3:15pm,dbt
e002,4,4:00pm,7:00pm,jyc
e002,5,11:30am,12:20pm,dbt
e003,1,10:30am,11:00am,ftz
e003,1,12:00pm,1:00pm,dch
e003,1,2:00pm,2:50pm,str
e003,1,3:00pm,6:15pm,str
e003,2,10:30am,11:00am,ftz
e003,2,11:00am,1:45pm,dbt
e003,3,4:00pm,4:50pm,fln
e003,4,11:00am,1:45pm,dbt
e004,1,10:30am,11:00am,ftz
e004,1,11:30am,12:20pm,nwl
e004,1,12:30pm,1:10pm,sdh
e004,1,6:45pm,8:30pm,onl
e004,2,10:30am,11:00am,ftz
e004,2,11:00am,1:45pm,dbt
e004,2,1:55pm,2:30pm,sdh
e004,3,11:30am,12:20pm,nwl
e004,3,12:30pm,1:00pm,sdh
e004,3,6:45pm,8:30pm,onl
e004,4,11:00am,1:45pm,dbt
e004,4,1:55pm,2:30pm,sdh
e004,5,11:30am,12:20pm,nwl
e004,5,12:30pm,1:00pm,sdh
e006,1,10:30am,11:00am,ftz
e006,1,12:30pm,1:45pm,jks
e006,1,2:00pm,2:30pm,ftz
e006,1,5:00pm,6:00pm,dbt
e006,2,11:00am,1:45pm,dbt
e006,3,12:30pm,1:45pm,dbt
e006,3,2:00pm,3:30pm,ftz
e006,4,11:00am,1:45pm,dbt
e006,4,2:00pm,3:00pm,ftz
e006,4,5:00pm,7:00pm,ggl
e007,1,10:30am,11:00am,ftz
e007,1,2:00pm,2:30pm,ftz
e007,2,11:00am,12:15pm,dbt
e007,2,12:30pm,1:45pm,dbt
e007,4,11:00am,12:15pm,dbt
e007,4,12:30pm,1:45pm,dbt
j004,1,11:00am,1:45pm,rly
j004,1,2:00pm,2:50pm,dbt
j004,2,11:00am,12:15pm,dbt
j004,2,12:30pm,1:45pm,dbt
j004,2,3:30pm,5:30pm,crb
j004,3,10:30am,11:00am,ftz
j004,3,11:00am,1:45pm,rly
j004,3,2:00pm,2:50pm,dbt
j004,3,3:30pm,4:45pm,dbt
j004,4,11:00am,12:15pm,dbt
j004,4,12:30pm,1:45pm,dbt
j004,4,3:30pm,5:30pm,crb
j004,5,2:00pm,2:50pm,dbt
j004,5,3:30pm,4:45pm,dbt
j005,2,11:00am,12:15pm,dbt
j005,2,12:30pm,1:45pm,dbt
j005,2,2:00pm,3:15pm,dbt
j005,2,3:30pm,4:45pm,dbt
j005,3,10:30am,11:00am,ftz
j005,4,11:00am,12:15pm,dbt
j005,4,12:30pm,1:45pm,dbt
j005,4,2:00pm,3:15pm,dbt
j005,4,3:30pm,4:45pm,dbt
s002,1,9:25am,10:15am,dbt
s002,1,10:30am,11:20am,nwl
s002,1,3:00pm,3:50pm,ftz
s002,2,9:30am,10:45am,dbt
s002,2,11:00am,12:15pm,dbt
s002,2,12:30pm,1:45pm,dbt
s002,2,2:00pm,3:25pm,ftz
s002,2,3:30pm,4:20pm,hhh
s002,3,9:25am,10:15am,dbt
s002,3,10:30am,11:20am,nwl
s002,3,11:30am,12:00pm,ftz
s002,4,9:30am,10:45am,dbt
s002,4,11:00am,12:15pm,dbt
s002,4,12:30pm,1:45pm,dbt
s002,5,9:25am,10:15am,dbt
s002,5,10:30am,11:20am,nwl
s003,1,8:20am,10:15am,dbt
s003,1,12:50am,1:40pm,dbt
s003,1,2:00pm,2:50pm,nwl
s003,1,3:00pm,3:50pm,ftz
s003,1,6:30pm,8:00pm,rcc
s003,2,9:30am,11:50am,dbt
s003,2,6:30pm,8:00pm,rcc
s003,3,8:20am,10:15am,dbt
s003,3,11:30am,12:00pm,ftz
s003,3,12:50am,1:40pm,dbt
s003,3,2:00pm,2:50pm,nwl
s003,3,6:30pm,8:00pm,rcc
s003,4,9:30am,10:45am,dbt
s003,4,11:00am,11:50am,hgg
s003,4,12:30pm,2:30pm,jdn
s003,4,6:30pm,8:00pm,rcc
s003,5,8:20am,10:15am,dbt
s003,5,12:50am,1:40pm,dbt
s003,5,2:00pm,2:50pm,nwl